,Model,Scenario
0,AIM/CGE 2.0,SSP1-26
1,AIM/CGE 2.0,SSP1-34
2,AIM/CGE 2.0,SSP1-45
3,AIM/CGE 2.0,SSP1-Baseline
4,AIM/CGE 2.0,SSP4-26
5,AIM/CGE 2.0,SSP4-34
6,AIM/CGE 2.0,SSP4-45
7,AIM/CGE 2.0,SSP4-Baseline
8,AIM/CGE 2.1,CD-LINKS_INDC2030i_1600
9,AIM/CGE 2.1,CD-LINKS_INDCi
10,AIM/CGE 2.1,CD-LINKS_NDC2030i_1000
11,AIM/CGE 2.1,CD-LINKS_NPi2020_1000
12,AIM/CGE 2.1,CD-LINKS_NPi2020_1600
13,AIM/CGE 2.1,CD-LINKS_NPi2020_400
14,AIM/CGE 2.1,CO_Bridge
15,AIM/CGE 2.1,CO_CurPol
16,AIM/CGE 2.2,EN_INDCi2030_1000f
17,AIM/CGE 2.2,EN_INDCi2030_1200
18,AIM/CGE 2.2,EN_INDCi2030_1200f
19,AIM/CGE 2.2,EN_INDCi2030_1400
20,AIM/CGE 2.2,EN_INDCi2030_1400f
21,AIM/CGE 2.2,EN_INDCi2030_1600
22,AIM/CGE 2.2,EN_INDCi2030_1600f
23,AIM/CGE 2.2,EN_INDCi2030_1800
24,AIM/CGE 2.2,EN_INDCi2030_1800f
25,AIM/CGE 2.2,EN_INDCi2030_800f
26,AIM/CGE 2.2,EN_INDCi2030_900f
27,AIM/CGE 2.2,EN_INDCi2100
28,AIM/CGE 2.2,EN_NPi2020_1000
29,AIM/CGE 2.2,EN_NPi2020_1000f
30,AIM/CGE 2.2,EN_NPi2020_1200
31,AIM/CGE 2.2,EN_NPi2020_1200f
32,AIM/CGE 2.2,EN_NPi2020_1400
33,AIM/CGE 2.2,EN_NPi2020_1400f
34,AIM/CGE 2.2,EN_NPi2020_1600
35,AIM/CGE 2.2,EN_NPi2020_1600f
36,AIM/CGE 2.2,EN_NPi2020_1800
37,AIM/CGE 2.2,EN_NPi2020_1800f
38,AIM/CGE 2.2,EN_NPi2020_300f
39,AIM/CGE 2.2,EN_NPi2020_400f
40,AIM/CGE 2.2,EN_NPi2020_500f
41,AIM/CGE 2.2,EN_NPi2020_600
42,AIM/CGE 2.2,EN_NPi2020_600f
43,AIM/CGE 2.2,EN_NPi2020_700
44,AIM/CGE 2.2,EN_NPi2020_700f
45,AIM/CGE 2.2,EN_NPi2020_800
46,AIM/CGE 2.2,EN_NPi2020_800f
47,AIM/CGE 2.2,EN_NPi2020_900
48,AIM/CGE 2.2,EN_NPi2020_900f
49,AIM/CGE 2.2,EN_NPi2100
50,AIM/Hub-Global 2.0,1.5C
51,AIM/Hub-Global 2.0,2.5C
52,AIM/Hub-Global 2.0,2C
53,AIM/Hub-Global 2.0,Baseline
54,AIM/Hub-Global 2.0,WB2C
55,C-ROADS-5.005,Ratchet-1.5-allCDR
56,C-ROADS-5.005,Ratchet-1.5-limCDR
57,C-ROADS-5.005,Ratchet-1.5-limCDR-noOS
58,C-ROADS-5.005,Ratchet-1.5-noCDR
59,C-ROADS-5.005,Ratchet-1.5-noCDR-noOS
60,C-ROADS-5.005,Reference
61,COFFEE 1.1,CO_2Deg2020
62,COFFEE 1.1,CO_2Deg2030
63,COFFEE 1.1,CO_BAU
64,COFFEE 1.1,CO_Bridge
65,COFFEE 1.1,CO_CurPol
66,COFFEE 1.1,CO_GPP
67,COFFEE 1.1,CO_NDCplus
68,COFFEE 1.1,EN_INDCi2030_1000
69,COFFEE 1.1,EN_INDCi2030_1000_NDCp
70,COFFEE 1.1,EN_INDCi2030_1000f
71,COFFEE 1.1,EN_INDCi2030_1200
72,COFFEE 1.1,EN_INDCi2030_1200f
73,COFFEE 1.1,EN_INDCi2030_1400
74,COFFEE 1.1,EN_INDCi2030_1400f
75,COFFEE 1.1,EN_INDCi2030_1600
76,COFFEE 1.1,EN_INDCi2030_1600f
77,COFFEE 1.1,EN_INDCi2030_1800
78,COFFEE 1.1,EN_INDCi2030_1800f
79,COFFEE 1.1,EN_INDCi2030_2000
80,COFFEE 1.1,EN_INDCi2030_2000f
81,COFFEE 1.1,EN_INDCi2030_2500
82,COFFEE 1.1,EN_INDCi2030_2500f
83,COFFEE 1.1,EN_INDCi2030_400f
84,COFFEE 1.1,EN_INDCi2030_500
85,COFFEE 1.1,EN_INDCi2030_500f
86,COFFEE 1.1,EN_INDCi2030_600
87,COFFEE 1.1,EN_INDCi2030_600_NDCp
88,COFFEE 1.1,EN_INDCi2030_600f
89,COFFEE 1.1,EN_INDCi2030_700
90,COFFEE 1.1,EN_INDCi2030_700f
91,COFFEE 1.1,EN_INDCi2030_800
92,COFFEE 1.1,EN_INDCi2030_800f
93,COFFEE 1.1,EN_INDCi2030_900
94,COFFEE 1.1,EN_INDCi2030_900f
95,COFFEE 1.1,EN_INDCi2100
96,COFFEE 1.1,EN_INDCi2100_COV_NDCp
97,COFFEE 1.1,EN_NPi2020_1000
98,COFFEE 1.1,EN_NPi2020_1000f
99,COFFEE 1.1,EN_NPi2020_1200
100,COFFEE 1.1,EN_NPi2020_1200f
101,COFFEE 1.1,EN_NPi2020_1400
102,COFFEE 1.1,EN_NPi2020_1400f
103,COFFEE 1.1,EN_NPi2020_1600
104,COFFEE 1.1,EN_NPi2020_1600f
105,COFFEE 1.1,EN_NPi2020_1800
106,COFFEE 1.1,EN_NPi2020_1800f
107,COFFEE 1.1,EN_NPi2020_2000
108,COFFEE 1.1,EN_NPi2020_2000f
109,COFFEE 1.1,EN_NPi2020_2500
110,COFFEE 1.1,EN_NPi2020_2500f
111,COFFEE 1.1,EN_NPi2020_400
112,COFFEE 1.1,EN_NPi2020_400_lowBECCS
113,COFFEE 1.1,EN_NPi2020_400f
114,COFFEE 1.1,EN_NPi2020_400f_lowBECCS
115,COFFEE 1.1,EN_NPi2020_500
116,COFFEE 1.1,EN_NPi2020_500f
117,COFFEE 1.1,EN_NPi2020_600
118,COFFEE 1.1,EN_NPi2020_600f
119,COFFEE 1.1,EN_NPi2020_700
120,COFFEE 1.1,EN_NPi2020_700f
121,COFFEE 1.1,EN_NPi2020_800
122,COFFEE 1.1,EN_NPi2020_800f
123,COFFEE 1.1,EN_NPi2020_900
124,COFFEE 1.1,EN_NPi2020_900f
125,COFFEE 1.1,EN_NPi2100
126,EPPA 6,2CNow_Gradual
127,EPPA 6,Paris1.5C_OptTax
128,EPPA 6,Paris2C_Gradual
129,EPPA 6,Paris2C_OptTax
130,EPPA 6,ParisFlat
131,EPPA 6,ParisForever
132,EPPA 6,Ref
133,GCAM 4.2,SSP1-19
134,GCAM 4.2,SSP3-Baseline
135,GCAM 4.2,SSP4-Baseline
136,GCAM 5.2,"NGFS1_Current policies (Hot house world, Rep)"
137,GCAM 5.2,"NGFS1_Immediate 2C with CDR (Orderly, Rep)"
138,GCAM 5.3,NGFS2_Below 2°C
139,GCAM 5.3,NGFS2_Current Policies
140,GCAM 5.3,NGFS2_Delayed Transition
141,GCAM 5.3,NGFS2_Divergent Net Zero Policies
142,GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs)
143,GCAM 5.3,NGFS2_Net-Zero 2050
144,GCAM 5.3,R_BAU
145,GCAM 5.3,R_MAC_30_n0
146,GCAM 5.3,R_MAC_35_n0
147,GCAM 5.3,R_MAC_35_n8
148,GCAM 5.3,R_MAC_40_n0
149,GCAM 5.3,R_MAC_40_n8
150,GCAM 5.3,R_MAC_45_n0
151,GCAM 5.3,R_MAC_45_n8
152,GCAM 5.3,R_MAC_50_n0
153,GCAM 5.3,R_MAC_50_n8
154,GCAM 5.3,R_MAC_55_n0
155,GCAM 5.3,R_MAC_55_n8
156,GCAM 5.3,R_MAC_60_n0
157,GCAM 5.3,R_MAC_60_n8
158,GCAM 5.3,R_MAC_65_n0
159,GCAM 5.3,R_MAC_65_n8
160,GCAM 5.3,R_MAC_70_n0
161,GCAM 5.3,R_MAC_70_n8
162,GCAM 5.3,R_MAC_75_n0
163,GCAM 5.3,R_MAC_75_n8
164,GCAM 5.3,R_MAC_80_n0
165,GCAM 5.3,R_MAC_80_n8
166,GCAM 5.3,R_MAC_85_n0
167,GCAM 5.3,R_MAC_85_n8
168,GCAM 5.3,R_MAC_90_n0
169,GCAM 5.3,R_MAC_90_n8
170,GCAM 5.3,R_MAC_95_n0
171,GCAM 5.3,R_MAC_95_n8
172,GCAM 5.3,R_MAC_99_n0
173,GCAM 5.3,R_MAC_99_n8
174,GCAM 5.3,SSP_SSP2
175,GCAM 5.3,SSP_SSP3
176,GCAM 5.3,SSP_SSP4
177,GCAM 5.3,SSP_SSP5
178,GCAM-PR 5.3,PR_CP_PriceOnly
179,GCAM-PR 5.3,PR_NDC_PriceOnly
180,GCAM-PR 5.3,PR_baseline
181,GEM-E3_V2021,EN_INDCi2030_1000
182,GEM-E3_V2021,EN_INDCi2030_1000_COV
183,GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp
184,GEM-E3_V2021,EN_INDCi2030_1000_NDCp
185,GEM-E3_V2021,EN_INDCi2030_1000f
186,GEM-E3_V2021,EN_INDCi2030_1000f_COV
187,GEM-E3_V2021,EN_INDCi2030_1000f_COV_NDCp
188,GEM-E3_V2021,EN_INDCi2030_1000f_NDCp
189,GEM-E3_V2021,EN_INDCi2030_1400
190,GEM-E3_V2021,EN_INDCi2030_1400f
191,GEM-E3_V2021,EN_INDCi2030_1800
192,GEM-E3_V2021,EN_INDCi2030_1800f
193,GEM-E3_V2021,EN_INDCi2030_600f
194,GEM-E3_V2021,EN_INDCi2030_600f_COV
195,GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp
196,GEM-E3_V2021,EN_INDCi2030_600f_NDCp
197,GEM-E3_V2021,EN_INDCi2030_800
198,GEM-E3_V2021,EN_INDCi2030_800f
199,GEM-E3_V2021,EN_INDCi2100
200,GEM-E3_V2021,EN_INDCi2100_COV
201,GEM-E3_V2021,EN_INDCi2100_COV_NDCp
202,GEM-E3_V2021,EN_INDCi2100_NDCp
203,GEM-E3_V2021,EN_NPi2020_1000
204,GEM-E3_V2021,EN_NPi2020_1000_COV
205,GEM-E3_V2021,EN_NPi2020_1000f
206,GEM-E3_V2021,EN_NPi2020_1000f_COV
207,GEM-E3_V2021,EN_NPi2020_1400
208,GEM-E3_V2021,EN_NPi2020_1400f
209,GEM-E3_V2021,EN_NPi2020_1800
210,GEM-E3_V2021,EN_NPi2020_1800f
211,GEM-E3_V2021,EN_NPi2020_400f
212,GEM-E3_V2021,EN_NPi2020_500
213,GEM-E3_V2021,EN_NPi2020_500f
214,GEM-E3_V2021,EN_NPi2020_600
215,GEM-E3_V2021,EN_NPi2020_600_COV
216,GEM-E3_V2021,EN_NPi2020_600f
217,GEM-E3_V2021,EN_NPi2020_600f_COV
218,GEM-E3_V2021,EN_NPi2020_800
219,GEM-E3_V2021,EN_NPi2020_800f
220,GEM-E3_V2021,EN_NPi2100
221,GEM-E3_V2021,EN_NPi2100_COV
222,IMAGE 3.0,CO_2Deg2020
223,IMAGE 3.0,CO_2Deg2030
224,IMAGE 3.0,CO_BAU
225,IMAGE 3.0,CO_Bridge
226,IMAGE 3.0,CO_CurPol
227,IMAGE 3.0,CO_GPP
228,IMAGE 3.0,CO_NDCplus
229,IMAGE 3.0,EN_INDCi2030_1000
230,IMAGE 3.0,EN_INDCi2030_1000f
231,IMAGE 3.0,EN_INDCi2030_1200
232,IMAGE 3.0,EN_INDCi2030_1200f
233,IMAGE 3.0,EN_INDCi2030_1400
234,IMAGE 3.0,EN_INDCi2030_1400f
235,IMAGE 3.0,EN_INDCi2030_3000
236,IMAGE 3.0,EN_INDCi2030_3000f
237,IMAGE 3.0,EN_INDCi2030_800f
238,IMAGE 3.0,EN_INDCi2100
239,IMAGE 3.0,EN_NPi2020_1000
240,IMAGE 3.0,EN_NPi2020_1000f
241,IMAGE 3.0,EN_NPi2020_1200
242,IMAGE 3.0,EN_NPi2020_1200f
243,IMAGE 3.0,EN_NPi2020_1400
244,IMAGE 3.0,EN_NPi2020_1400f
245,IMAGE 3.0,EN_NPi2020_3000
246,IMAGE 3.0,EN_NPi2020_3000f
247,IMAGE 3.0,EN_NPi2020_600f
248,IMAGE 3.0,EN_NPi2020_800
249,IMAGE 3.0,EN_NPi2020_800f
250,IMAGE 3.0,EN_NPi2100
251,IMAGE 3.0,EN_NoPolicy
252,IMAGE 3.0.1,ADVANCE_2020_1.5C-2100
253,IMAGE 3.0.1,ADVANCE_2020_Med2C
254,IMAGE 3.0.1,ADVANCE_2020_WB2C
255,IMAGE 3.0.1,ADVANCE_2030_Med2C
256,IMAGE 3.0.1,ADVANCE_2030_WB2C
257,IMAGE 3.0.1,ADVANCE_INDC
258,IMAGE 3.0.1,ADVANCE_NoPolicy
259,IMAGE 3.0.1,ADVANCE_Reference
260,IMAGE 3.0.1,CD-LINKS_INDC2030i_1600
261,IMAGE 3.0.1,CD-LINKS_INDCi
262,IMAGE 3.0.1,CD-LINKS_NDC2030i_1000
263,IMAGE 3.0.1,CD-LINKS_NPi
264,IMAGE 3.0.1,CD-LINKS_NPi2020_1000
265,IMAGE 3.0.1,CD-LINKS_NPi2020_1600
266,IMAGE 3.0.1,CD-LINKS_NPi2020_400
267,IMAGE 3.0.1,CD-LINKS_NoPolicy
268,IMAGE 3.0.1,EMF30_BCOC-EndU
269,IMAGE 3.0.1,EMF30_Baseline
270,IMAGE 3.0.1,EMF30_CH4-Only
271,IMAGE 3.0.1,EMF30_ClimPolicy
272,IMAGE 3.0.1,EMF30_ClimPolicy+SLCF
273,IMAGE 3.0.1,EMF30_D_BCOC-Red
274,IMAGE 3.0.1,EMF30_D_CH4-ClimPolicy
275,IMAGE 3.0.1,EMF30_D_CO2-Only
276,IMAGE 3.0.1,EMF30_D_Frozen-CH4
277,IMAGE 3.0.1,EMF30_D_Frozen-EF
278,IMAGE 3.0.1,EMF30_D_Frozen-EF-EndU
279,IMAGE 3.0.1,EMF30_D_Frozen-EF-SLCF
280,IMAGE 3.0.1,EMF30_SLCF
281,IMAGE 3.0.1,EMF30_Slower-Action
282,IMAGE 3.0.1,EMF30_Slower-Action+SLCF
283,IMAGE 3.0.1,EMF30_Slower-to-faster
284,IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF
285,IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF+HFC
286,IMAGE 3.0.1,SSP1-26
287,IMAGE 3.0.1,SSP1-34
288,IMAGE 3.0.1,SSP1-45
289,IMAGE 3.0.1,SSP1-Baseline
290,IMAGE 3.0.1,SSP2-26
291,IMAGE 3.0.1,SSP2-34
292,IMAGE 3.0.1,SSP2-45
293,IMAGE 3.0.1,SSP2-60
294,IMAGE 3.0.1,SSP2-Baseline
295,IMAGE 3.0.1,SSP3-34
296,IMAGE 3.0.1,SSP3-45
297,IMAGE 3.0.1,SSP3-60
298,IMAGE 3.0.1,SSP3-Baseline
299,IMAGE 3.0.1,SSP4-26
300,IMAGE 3.0.1,SSP4-34
301,IMAGE 3.0.1,SSP4-45
302,IMAGE 3.0.1,SSP4-60
303,IMAGE 3.0.1,SSP4-Baseline
304,IMAGE 3.0.1,SSP5-34
305,IMAGE 3.0.1,SSP5-45
306,IMAGE 3.0.1,SSP5-60
307,IMAGE 3.0.1,SSP5-Baseline
308,IMAGE 3.0.2,EMF33_Baseline
309,IMAGE 3.0.2,EMF33_Med2C_cost100
310,IMAGE 3.0.2,EMF33_Med2C_full
311,IMAGE 3.0.2,EMF33_Med2C_limbio
312,IMAGE 3.0.2,EMF33_Med2C_nobeccs
313,IMAGE 3.0.2,EMF33_Med2C_nofuel
314,IMAGE 3.0.2,EMF33_Med2C_none
315,IMAGE 3.0.2,EMF33_WB2C_cost100
316,IMAGE 3.0.2,EMF33_WB2C_full
317,IMAGE 3.0.2,EMF33_WB2C_limbio
318,IMAGE 3.0.2,EMF33_WB2C_nobeccs
319,IMAGE 3.0.2,EMF33_WB2C_nofuel
320,IMAGE 3.0.2,EMF33_tax_hi_full
321,IMAGE 3.0.2,EMF33_tax_hi_none
322,IMAGE 3.0.2,EMF33_tax_lo_full
323,IMAGE 3.0.2,EMF33_tax_lo_none
324,IMAGE 3.2,SSP1-baseline
325,IMAGE 3.2,SSP1_SPA1_19I_D
326,IMAGE 3.2,SSP1_SPA1_19I_D_LB
327,IMAGE 3.2,SSP1_SPA1_19I_LI
328,IMAGE 3.2,SSP1_SPA1_19I_LIRE
329,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB
330,IMAGE 3.2,SSP1_SPA1_19I_RE
331,IMAGE 3.2,SSP1_SPA1_19I_RE_LB
332,IMAGE 3.2,SSP1_SPA1_26I_D
333,IMAGE 3.2,SSP1_SPA1_26I_LI
334,IMAGE 3.2,SSP1_SPA1_26I_LIRE
335,IMAGE 3.2,SSP1_SPA1_26I_RE
336,IMAGE 3.2,SSP1_SPA1_34I_D
337,IMAGE 3.2,SSP1_SPA1_34I_LI
338,IMAGE 3.2,SSP1_SPA1_34I_LIRE
339,IMAGE 3.2,SSP1_SPA1_34I_RE
340,IMAGE 3.2,SSP2-baseline
341,IMAGE 3.2,SSP2_SPA0_26I_D
342,IMAGE 3.2,SSP2_SPA1_19I_D_LB
343,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB
344,IMAGE 3.2,SSP2_SPA1_19I_RE_LB
345,IMAGE 3.2,SSP2_SPA2_19I_D
346,IMAGE 3.2,SSP2_SPA2_19I_LI
347,IMAGE 3.2,SSP2_SPA2_19I_LIRE
348,IMAGE 3.2,SSP2_SPA2_19I_RE
349,IMAGE 3.2,SSP2_SPA2_26I_D
350,IMAGE 3.2,SSP2_SPA2_26I_LI
351,IMAGE 3.2,SSP2_SPA2_26I_LIRE
352,IMAGE 3.2,SSP2_SPA2_26I_RE
353,IMAGE 3.2,SSP2_SPA2_34I_D
354,IMAGE 3.2,SSP2_SPA2_34I_LI
355,IMAGE 3.2,SSP2_SPA2_34I_LIRE
356,IMAGE 3.2,SSP2_SPA2_34I_RE
357,IMAGE 3.2,SSP2_SPA2_45I_D
358,IMAGE 3.2,SSP2_SPA2_45I_LI
359,IMAGE 3.2,SSP2_SPA2_45I_LIRE
360,IMAGE 3.2,SSP2_SPA2_45I_RE
361,IMAGE 3.2,SSP3-baseline
362,IMAGE 3.2,SSP4-baseline
363,IMAGE 3.2,SSP5-baseline
364,MERGE-ETL 6.0,DAC2_66
365,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100
366,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C
367,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C
368,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C
369,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C
370,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C
371,MESSAGE-GLOBIOM 1.0,ADVANCE_INDC
372,MESSAGE-GLOBIOM 1.0,ADVANCE_Reference
373,MESSAGE-GLOBIOM 1.0,EMF30_BCOC-EndU
374,MESSAGE-GLOBIOM 1.0,EMF30_Baseline
375,MESSAGE-GLOBIOM 1.0,EMF30_D_BCOC-Red
376,MESSAGE-GLOBIOM 1.0,EMF30_D_CH4-ClimPolicy
377,MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-CH4
378,MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF
379,MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-EndU
380,MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-SLCF
381,MESSAGE-GLOBIOM 1.0,EMF30_Slower-Action
382,MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster
383,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100
384,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full
385,MESSAGE-GLOBIOM 1.0,EMF33_Baseline
386,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100
387,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full
388,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio
389,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs
390,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel
391,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none
392,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100
393,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full
394,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio
395,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel
396,MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full
397,MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none
398,MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full
399,MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_none
400,MESSAGE-GLOBIOM 1.0,SSP1-26
401,MESSAGE-GLOBIOM 1.0,SSP1-34
402,MESSAGE-GLOBIOM 1.0,SSP1-45
403,MESSAGE-GLOBIOM 1.0,SSP1-Baseline
404,MESSAGE-GLOBIOM 1.0,SSP2-19
405,MESSAGE-GLOBIOM 1.0,SSP2-26
406,MESSAGE-GLOBIOM 1.0,SSP2-34
407,MESSAGE-GLOBIOM 1.0,SSP2-45
408,MESSAGE-GLOBIOM 1.0,SSP2-60
409,MESSAGE-GLOBIOM 1.0,SSP2-Baseline
410,MESSAGE-GLOBIOM 1.0,SSP3-34
411,MESSAGE-GLOBIOM 1.0,SSP3-45
412,MESSAGE-GLOBIOM 1.0,SSP3-60
413,MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600
414,MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDCi
415,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000
416,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi
417,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000
418,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600
419,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400
420,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NoPolicy
421,MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC
422,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000
423,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV
424,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV_NDCp
425,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_NDCp
426,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f
427,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV
428,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV_NDCp
429,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_NDCp
430,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200
431,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV
432,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV_NDCp
433,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_NDCp
434,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f
435,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV
436,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV_NDCp
437,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_NDCp
438,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400
439,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV
440,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV_NDCp
441,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_NDCp
442,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f
443,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV
444,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV_NDCp
445,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_NDCp
446,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600
447,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV
448,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV_NDCp
449,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_NDCp
450,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f
451,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV
452,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV_NDCp
